tloss_a_step,tloss_step,w_accuracy_step,w_stability_step,epoch,trainer/global_step,tloss_s_step,_timestamp,_runtime,_step,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,RMSSC,RMSSE,sMAPC
1.0831491947174072,0.9677054286003113,0.8500000238418579,0.15000000596046448,5,499,0.31352412700653076,1778809116.5319152,278.246992243,14,,,,,,,,,
1.0052993297576904,0.904674768447876,0.8500000238418579,0.15000000596046448,5,549,0.33446866273880005,1778809143.2911696,305.006343799,15,,,,,,,,,
,,,,5,557,,1778809149.434002,311.149131281,16,1.0599955320358276,0.3213898539543152,0.9492045640945435,0.849999189376831,0.14999987185001373,,,,
1.1353060007095337,1.0229649543762207,0.8500000238418579,0.15000000596046448,6,599,0.38636595010757446,1778809172.0853007,333.800367101,17,,,,,,,,,
1.0457608699798584,0.9408443570137024,0.8500000238418579,0.15000000596046448,6,649,0.3463172912597656,1778809198.9819238,360.697265871,18,,,,,,,,,
,,,,6,650,,1778809201.343651,363.058807451,19,1.0458463430404663,0.3356618583202362,0.9393184781074524,0.849999189376831,0.14999987185001373,,,,
0.9441758990287781,0.8486398458480835,0.8500000238418579,0.15000000596046448,7,699,0.3072688579559326,1778809227.498674,389.213704431,20,,,,,,,,,
,,,,7,743,,1778809252.7668638,414.482405715,21,1.0190753936767578,0.3267272710800171,0.9152234792709351,0.849999189376831,0.14999987185001373,,,,
0.9999336004257202,0.8971301913261414,0.8500000238418579,0.15000000596046448,8,749,0.31457728147506714,1778809256.134467,417.849547377,22,,,,,,,,,
0.9745008945465088,0.8684014081954956,0.8500000238418579,0.15000000596046448,8,799,0.26717060804367065,1778809283.00727,444.722312801,23,,,,,,,,,
,,,,8,836,,1778809304.6786866,466.393842358,24,1.006479263305664,0.32726943492889404,0.9045974016189575,0.849999189376831,0.14999987185001373,,,,
0.9527449011802673,0.8547362089157104,0.8500000238418579,0.15000000596046448,9,849,0.2993537187576294,1778809311.6715343,473.387007829,25,,,,,,,,,
1.0130832195281982,0.9075666069984436,0.8500000238418579,0.15000000596046448,9,899,0.3096390962600708,1778809338.315913,500.030959409,26,,,,,,,,,
,,,,9,929,,1778809356.3680243,518.083084619,27,0.9921401739120483,0.32652199268341064,0.8922972083091736,0.849999189376831,0.14999987185001373,,,,
1.0395123958587646,0.9320554733276367,0.8500000238418579,0.15000000596046448,10,949,0.32313257455825806,1778809366.9995801,528.714893327,28,,,,,,,,,
0.955805778503418,0.8575360774993896,0.8500000238418579,0.15000000596046448,10,999,0.3006746172904968,1778809393.7233498,555.438395003,29,,,,,,,,,
,,,,10,1022,,1778809407.6897676,569.405025458,30,0.9881946444511414,0.3308045268058777,0.8895862698554993,0.849999189376831,0.14999987185001373,,,,
1.0314089059829712,0.9306791424751282,0.8500000238418579,0.15000000596046448,11,1049,0.3598767817020416,1778809422.4507315,584.165791747,31,,,,,,,,,
0.9868346452713013,0.8875975012779236,0.8500000238418579,0.15000000596046448,11,1099,0.32525327801704407,1778809449.060472,610.775600692,32,,,,,,,,,
,,,,11,1115,,1778809459.3275309,621.042669507,33,0.9875239133834839,0.3324257731437683,0.8892592787742615,0.849999189376831,0.14999987185001373,,,,
1.039077639579773,0.9343861937522888,0.8500000238418579,0.15000000596046448,12,1149,0.3411343991756439,1778809477.847098,639.562138744,34,,,,,,,,,
0.9310973882675171,0.84404456615448,0.8500000238418579,0.15000000596046448,12,1199,0.35074490308761597,1778809504.4989297,666.214106911,35,,,,,,,,,
,,,,12,1208,,1778809511.3170474,673.032194531,36,0.9841435551643372,0.330480694770813,0.8860946893692017,0.849999189376831,0.14999987185001373,,,,
0.9873641133308411,0.8885713815689087,0.8500000238418579,0.15000000596046448,13,1249,0.32874596118927,1778809533.748204,695.463215994,37,,,,,,,,,
0.9868069291114807,0.8900941014289856,0.8500000238418579,0.15000000596046448,13,1299,0.3420547842979431,1778809560.4018269,722.116953185,38,,,,,,,,,
,,,,13,1301,,1778809563.4246593,725.139803911,39,0.9652637839317322,0.33589842915534973,0.8708587884902954,0.849999189376831,0.14999987185001373,,,,
0.9505820870399475,0.8558341860771179,0.8500000238418579,0.15000000596046448,14,1349,0.3189292848110199,1778809589.516764,751.231795337,40,,,,,,,,,
