tloss_a_step,w_stability_step,trainer/global_step,_runtime,_step,tloss_s_step,tloss_step,w_accuracy_step,epoch,_timestamp,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,sMAPE,sMAPC,RMSSE,RMSSC
,,743,412.883828458,21,,,,7,1778826751.3382506,1.0538544654846191,0.33222416043281555,0.9456098079681396,0.849999189376831,0.14999987185001373,,,,
1.0557231903076172,0.15000000596046448,749,416.230286918,22,0.3367255926132202,0.947873592376709,0.8500000238418579,8,1778826754.6847124,,,,,,,,,
1.0724430084228516,0.15000000596046448,799,442.640459076,23,0.3399696350097656,0.9625720381736755,0.8500000238418579,8,1778826781.094959,,,,,,,,,
,,836,464.086263174,24,,,,8,1778826802.5407457,1.0535682439804077,0.33216190338134766,0.9453570246696472,0.849999189376831,0.14999987185001373,,,,
1.088901162147522,0.15000000596046448,849,471.123961794,25,0.3187672197818756,0.9733811020851135,0.8500000238418579,9,1778826809.5785525,,,,,,,,,
1.0940072536468506,0.15000000596046448,899,497.69743834,26,0.34166958928108215,0.9811566472053528,0.8500000238418579,9,1778826836.1518834,,,,,,,,,
,,929,515.486319976,27,,,,9,1778826853.9407687,1.055953860282898,0.3326736092567444,0.9474616646766663,0.849999189376831,0.14999987185001373,,,,
1.1449657678604126,0.15000000596046448,949,526.273359048,28,0.3330514132976532,1.0231786966323853,0.8500000238418579,10,1778826864.7279003,,,,,,,,,
1.1122496128082275,0.15000000596046448,999,552.626451965,29,0.3637646436691284,0.9999769330024719,0.8500000238418579,10,1778826891.080922,,,,,,,,,
,,1022,566.698767108,30,,,,10,1778826905.153233,1.0599875450134277,0.3363385498523712,0.9514400362968445,0.849999189376831,0.14999987185001373,,,,
0.9989224076271057,0.15000000596046448,1049,581.225134162,31,0.33870866894721985,0.8998903632164001,0.8500000238418579,11,1778826919.6797009,,,,,,,,,
1.0517046451568604,0.15000000596046448,1099,607.524844191,32,0.3168044090270996,0.9414696097373962,0.8500000238418579,11,1778826945.979209,,,,,,,,,
,,1115,618.137076016,33,,,,11,1778826956.5915642,1.0569052696228027,0.33170458674430847,0.9481253027915955,0.849999189376831,0.14999987185001373,,,,
1.0798749923706055,0.15000000596046448,1149,636.654046151,34,0.3503066301345825,0.9704397916793823,0.8500000238418579,12,1778826975.1086261,,,,,,,,,
0.9808334112167358,0.15000000596046448,1199,662.909222621,35,0.31661084294319153,0.8812000155448914,0.8500000238418579,12,1778827001.3636103,,,,,,,,,
,,1208,669.577296059,36,,,,12,1778827008.031809,1.0509365797042847,0.33101776242256165,0.9429484605789185,0.849999189376831,0.14999987185001373,,,,
1.0485901832580566,0.15000000596046448,1249,691.744853033,37,0.3100743293762207,0.937812864780426,0.8500000238418579,13,1778827030.1993716,,,,,,,,,
1.1030678749084473,0.15000000596046448,1299,718.070775671,38,0.33225658535957336,0.9874461889266968,0.8500000238418579,13,1778827056.525355,,,,,,,,,
,,1301,721.046091902,39,,,,13,1778827059.5004625,1.0526703596115112,0.3306306004524231,0.9443645477294922,0.849999189376831,0.14999987185001373,,,,
1.045163631439209,0.15000000596046448,1349,746.895492891,40,0.3263642489910126,0.9373437762260437,0.8500000238418579,14,1778827085.3500013,,,,,,,,,
