w_accuracy_step,epoch,_timestamp,_step,tloss_step,w_stability_step,trainer/global_step,_runtime,tloss_a_step,tloss_s_step,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,w_accuracy_epoch,tloss_epoch,RMSSE,RMSSC,sMAPE,sMAPC
1.0,6,1778420858.3324678,18,0.9890176057815552,0.0,649,277.400908919,0.9890176057815552,0.3945332169532776,,,,,,,,,
,6,1778420859.7528212,19,,,650,278.821297634,,,0.0,1.044732689857483,0.4475616216659546,1.0,1.044732689857483,,,,
1.0,7,1778420880.195157,20,1.0772299766540527,0.0,699,299.263676026,1.0772299766540527,0.4527527391910553,,,,,,,,,
,7,1778420899.3857808,21,,,743,318.454261845,,,0.0,1.0448819398880005,0.4471116065979004,1.0,1.0448819398880005,,,,
1.0,8,1778420901.8095956,22,0.9965260028839111,0.0,749,320.877932691,0.9965260028839111,0.426472544670105,,,,,,,,,
1.0,8,1778420922.7779884,23,1.0369164943695068,0.0,799,341.846439687,1.0369164943695068,0.40662550926208496,,,,,,,,,
,8,1778420939.2538059,24,,,836,358.322317355,,,0.0,1.0443310737609863,0.4406721889972687,1.0,1.0443310737609863,,,,
1.0,9,1778420944.5763915,25,1.0340558290481567,0.0,849,363.645029697,1.0340558290481567,0.41570985317230225,,,,,,,,,
1.0,9,1778420965.460584,26,1.0608692169189453,0.0,899,384.529205256,1.0608692169189453,0.4545207917690277,,,,,,,,,
,9,1778420979.0158098,27,,,929,398.08420085,,,0.0,1.0462158918380737,0.4448629319667816,1.0,1.0462158918380737,,,,
1.0,10,1778420987.369711,28,0.9830098152160645,0.0,949,406.438111195,0.9830098152160645,0.4223428964614868,,,,,,,,,
1.0,10,1778421008.2720556,29,1.0383360385894775,0.0,999,427.340582041,1.0383360385894775,0.4426614046096802,,,,,,,,,
,10,1778421019.0370762,30,,,1022,438.105582722,,,0.0,1.0348730087280273,0.43701469898223877,1.0,1.0348730087280273,,,,
1.0,11,1778421030.3474796,31,1.0351923704147339,0.0,1049,449.416053759,1.0351923704147339,0.43112266063690186,,,,,,,,,
1.0,11,1778421051.268649,32,1.040069818496704,0.0,1099,470.337047081,1.040069818496704,0.44785696268081665,,,,,,,,,
,11,1778421058.9179785,33,,,1115,477.986530611,,,0.0,1.043747901916504,0.44064921140670776,1.0,1.043747901916504,,,,
1.0,12,1778421073.058525,34,1.0400011539459229,0.0,1149,492.126974218,1.0400011539459229,0.47646379470825195,,,,,,,,,
1.0,12,1778421093.9989939,35,1.0248793363571167,0.0,1199,513.067503877,1.0248793363571167,0.40284204483032227,,,,,,,,,
,12,1778421098.84365,36,,,1208,517.912154121,,,0.0,1.0425313711166382,0.4395493268966675,1.0,1.0425313711166382,,,,
1.0,13,1778421115.7588296,37,1.1136771440505981,0.0,1249,534.827257508,1.1136771440505981,0.4652472734451294,,,,,,,,,
1.0,13,1778421136.6197174,38,1.040296196937561,0.0,1299,555.688162036,1.040296196937561,0.46107399463653564,,,,,,,,,
,13,1778421138.4482849,39,,,1301,557.516820377,,,0.0,1.0417466163635254,0.4387975335121155,1.0,1.0417466163635254,,,,
1.0,14,1778421158.5131145,40,1.075817584991455,0.0,1349,577.581446275,1.075817584991455,0.40509968996047974,,,,,,,,,
,14,1778421178.429558,41,,,1394,597.497938749,,,0.0,1.037359595298767,0.4306618571281433,1.0,1.037359595298767,,,,
1.0,15,1778421180.4952638,42,1.0776729583740234,0.0,1399,599.563734937,1.0776729583740234,0.45986104011535645,,,,,,,,,
1.0,15,1778421201.3470688,43,1.0034397840499878,0.0,1449,620.415692504,1.0034397840499878,0.43248897790908813,,,,,,,,,
,15,1778421218.268701,44,,,1487,637.337259327,,,0.0,1.034749984741211,0.4303894340991974,1.0,1.034749984741211,,,,
1.0,16,1778421223.31104,45,1.0646517276763916,0.0,1499,642.379575624,1.0646517276763916,0.4248661696910858,,,,,,,,,
1.0,16,1778421244.035458,46,1.0628052949905396,0.0,1549,663.104002037,1.0628052949905396,0.4272480010986328,,,,,,,,,
