w_accuracy_step,w_stability_step,trainer/global_step,_runtime,tloss_a_step,tloss_s_step,tloss_step,epoch,_timestamp,_step,tloss_a_epoch,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,w_stability_epoch,RMSSE,sMAPE,RMSSC,sMAPC
0.8500000238418579,0.15000000596046448,899,530.717564702,0.951866626739502,0.3390456438064575,0.8599435091018677,9,1778789314.2616856,26,,,,,,,,,
,,929,549.152411549,,,,9,1778789332.6963024,27,0.9485588669776917,0.3432249128818512,0.8577588796615601,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,949,560.617816159,0.940967321395874,0.3610585927963257,0.853981077671051,10,1778789344.1616366,28,,,,,,,,,
0.8500000238418579,0.15000000596046448,999,589.583228945,0.9384009838104248,0.34147948026657104,0.8488627672195435,10,1778789373.1273134,29,,,,,,,,,
,,1022,603.8027864,,,,10,1778789387.346648,30,0.9288837909698486,0.34234338998794556,0.8409027457237244,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,1049,619.420355322,0.9698653221130371,0.35150009393692017,0.8771105408668518,11,1778789402.964131,31,,,,,,,,,
0.8500000238418579,0.15000000596046448,1099,648.374679275,0.920445442199707,0.35946017503738403,0.8362976908683777,11,1778789431.9187274,32,,,,,,,,,
,,1115,658.730634928,,,,11,1778789442.2745056,33,0.9116542935371399,0.3516463041305542,0.8276532292366028,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,1149,678.436576097,0.9294241070747375,0.35697418451309204,0.8435566425323486,12,1778789461.9804003,34,,,,,,,,,
0.8500000238418579,0.15000000596046448,1199,707.18041914,0.8858308792114258,0.3429138958454132,0.8043933510780334,12,1778789490.7244928,35,,,,,,,,,
,,1208,713.624447442,,,,12,1778789497.1683874,36,0.9083144664764404,0.35736626386642456,0.8256722688674927,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,1249,737.491417489,0.9385206699371338,0.40642112493515015,0.8587057590484619,13,1778789521.0354934,37,,,,,,,,,
0.8500000238418579,0.15000000596046448,1299,766.318233648,0.8926208019256592,0.3709943890571594,0.8143768906593323,13,1778789549.862095,38,,,,,,,,,
,,1301,768.635541607,,,,13,1778789552.179399,39,0.875857949256897,0.36544421315193176,0.7992958426475525,0.849999189376831,0.14999987185001373,,,,
0.8500000238418579,0.15000000596046448,1349,796.153238519,0.8035100698471069,0.3705759048461914,0.738569974899292,14,1778789579.6973178,40,,,,,,,,,
