tloss_s_step,w_accuracy_step,epoch,trainer/global_step,_runtime,_step,tloss_a_step,tloss_step,w_stability_step,_timestamp,w_accuracy_epoch,w_stability_epoch,tloss_a_epoch,tloss_s_epoch,tloss_epoch,sMAPE,RMSSC,sMAPC,RMSSE
0.3746034502983093,1.0,7,699,284.730404511,20,0.9690721035003662,0.9690721035003662,0.0,1778423339.891514,,,,,,,,,
,,7,743,303.559871823,21,,,,1778423358.7208993,1.0,0.0,1.0126348733901978,0.4339214861392975,1.0126348733901978,,,,
0.4368082880973816,1.0,8,749,306.008298,22,0.9871260523796082,0.9871260523796082,0.0,1778423361.1694298,,,,,,,,,
0.4032753109931946,1.0,8,799,325.419985876,23,1.0491846799850464,1.0491846799850464,0.0,1778423380.5810103,,,,,,,,,
,,8,836,341.467652344,24,,,,1778423396.628743,1.0,0.0,0.9994077682495117,0.44681453704833984,0.9994077682495117,,,,
0.39182496070861816,1.0,9,849,346.582680341,25,0.9563775062561035,0.9563775062561035,0.0,1778423401.7438154,,,,,,,,,
0.417707622051239,1.0,9,899,365.984349751,26,1.0125082731246948,1.0125082731246948,0.0,1778423421.1453223,,,,,,,,,
,,9,929,379.366954573,27,,,,1778423434.5278137,1.0,0.0,0.9813871383666992,0.44132000207901,0.9813871383666992,,,,
0.4537573456764221,1.0,10,949,387.103049625,28,1.0057358741760254,1.0057358741760254,0.0,1778423442.2640917,,,,,,,,,
0.41995561122894287,1.0,10,999,406.625955756,29,0.9177548885345459,0.9177548885345459,0.0,1778423461.7869394,,,,,,,,,
,,10,1022,417.106457183,30,,,,1778423472.2674816,1.0,0.0,0.9704259037971497,0.44979867339134216,0.9704259037971497,,,,
0.45316702127456665,1.0,11,1049,427.540937542,31,1.0199862718582153,1.0199862718582153,0.0,1778423482.70207,,,,,,,,,
0.44568395614624023,1.0,11,1099,446.784652644,32,0.9696323275566101,0.9696323275566101,0.0,1778423501.9458241,,,,,,,,,
,,11,1115,454.612974934,33,,,,1778423509.7741191,1.0,0.0,0.97254478931427,0.45325085520744324,0.97254478931427,,,,
0.4665589928627014,1.0,12,1149,467.899666545,34,1.0234355926513672,1.0234355926513672,0.0,1778423523.0608814,,,,,,,,,
0.4889792799949646,1.0,12,1199,487.190631683,35,0.9143156409263611,0.9143156409263611,0.0,1778423542.351698,,,,,,,,,
,,12,1208,492.342146172,36,,,,1778423547.5031395,1.0,0.0,0.9533001184463501,0.46067479252815247,0.9533001184463501,,,,
0.45440950989723206,1.0,13,1249,508.292696351,37,0.9417192339897156,0.9417192339897156,0.0,1778423563.4537036,,,,,,,,,
0.4703117609024048,1.0,13,1299,527.622831231,38,0.9531888961791992,0.9531888961791992,0.0,1778423582.7839174,,,,,,,,,
,,13,1301,530.02607348,39,,,,1778423585.1871634,1.0,0.0,0.9418201446533203,0.4629553556442261,0.9418201446533203,,,,
0.4595526456832886,1.0,14,1349,548.73912538,40,0.9429815411567688,0.9429815411567688,0.0,1778423603.900152,,,,,,,,,
,,14,1394,567.785701803,41,,,,1778423622.9468248,1.0,0.0,0.933096706867218,0.4759531617164612,0.933096706867218,,,,
0.44574376940727234,1.0,15,1399,569.738750112,42,0.9380978941917419,0.9380978941917419,0.0,1778423624.899786,,,,,,,,,
0.5046757459640503,1.0,15,1449,589.345515602,43,0.9456933736801147,0.9456933736801147,0.0,1778423644.506567,,,,,,,,,
,,15,1487,605.715198192,44,,,,1778423660.8762424,1.0,0.0,0.9239027500152588,0.4849069118499756,0.9239027500152588,,,,
0.4594786763191223,1.0,16,1499,610.448264227,45,0.9113461971282959,0.9113461971282959,0.0,1778423665.6092978,,,,,,,,,
0.47870510816574097,1.0,16,1549,629.895045803,46,0.894804835319519,0.894804835319519,0.0,1778423685.0559955,,,,,,,,,
