tloss_a_step,tloss_s_step,w_stability_step,epoch,trainer/global_step,_timestamp,_runtime,tloss_step,w_accuracy_step,_step,tloss_s_epoch,w_accuracy_epoch,tloss_a_epoch,tloss_epoch,w_stability_epoch,sMAPE,RMSSE,RMSSC,sMAPC
1.23917818069458,0.519017219543457,0.0,11,1099,1778406797.8574014,516.033376185,1.23917818069458,1.0,32,,,,,,,,,
,,,11,1115,1778406805.4267263,523.602753703,,,33,0.571483314037323,1.0,1.2615309953689575,1.2615309953689575,0.0,,,,
1.3230150938034058,0.5892186760902405,0.0,12,1149,1778406823.0713081,541.247350426,1.3230150938034058,1.0,34,,,,,,,,,
1.2463009357452393,0.5305004119873047,0.0,12,1199,1778406844.1803415,562.356388788,1.2463009357452393,1.0,35,,,,,,,,,
,,,12,1208,1778406848.895307,567.071265397,,,36,0.553902268409729,1.0,1.2670954465866089,1.2670954465866089,0.0,,,,
1.2394702434539795,0.5808662176132202,0.0,13,1249,1778406869.4681563,587.644211195,1.2394702434539795,1.0,37,,,,,,,,,
1.263780117034912,0.5883558392524719,0.0,13,1299,1778406890.3855288,608.561675754,1.263780117034912,1.0,38,,,,,,,,,
,,,13,1301,1778406892.0483212,610.224456053,,,39,0.5594829320907593,1.0,1.2580318450927734,1.2580318450927734,0.0,,,,
1.2292100191116333,0.5648589134216309,0.0,14,1349,1778406915.7936747,633.969716135,1.2292100191116333,1.0,40,,,,,,,,,
,,,14,1394,1778406935.6104648,653.786453383,,,41,0.5729104280471802,1.0,1.2618266344070435,1.2618266344070435,0.0,,,,
1.2561248540878296,0.5761637687683105,0.0,15,1399,1778406941.0243285,659.200329158,1.2561248540878296,1.0,42,,,,,,,,,
1.2395761013031006,0.5367021560668945,0.0,15,1449,1778406962.0070398,680.182974839,1.2395761013031006,1.0,43,,,,,,,,,
,,,15,1487,1778406978.9244921,697.100419983,,,44,0.5595036745071411,1.0,1.2622944116592407,1.2622944116592407,0.0,,,,
1.2135456800460815,0.5106289982795715,0.0,16,1499,1778406987.3361244,705.512092541,1.2135456800460815,1.0,45,,,,,,,,,
1.198112964630127,0.5536649227142334,0.0,16,1549,1778407008.2046921,726.380757157,1.198112964630127,1.0,46,,,,,,,,,
