tloss_s_step,w_accuracy_step,w_stability_step,trainer/global_step,_runtime,_step,tloss_a_step,tloss_step,epoch,_timestamp,tloss_s_epoch,tloss_epoch,w_accuracy_epoch,tloss_a_epoch,w_stability_epoch,sMAPE,RMSSE,RMSSC,sMAPC
0.6436388492584229,1.0,0.0,1149,519.213348422,34,1.291365146636963,1.291365146636963,12,1778435294.510061,,,,,,,,,
0.555848240852356,1.0,0.0,1199,538.484528754,35,1.2169547080993652,1.2169547080993652,12,1778435313.7812197,,,,,,,,,
,,,1208,543.720008452,36,,,12,1778435319.0165453,0.5780774354934692,1.2870047092437744,1.0,1.2870047092437744,0.0,,,,
0.5538920164108276,1.0,0.0,1249,563.644442495,37,1.2451906204223633,1.2451906204223633,13,1778435338.9413276,,,,,,,,,
0.5445411205291748,1.0,0.0,1299,582.962692067,38,1.1493967771530151,1.1493967771530151,13,1778435358.259238,,,,,,,,,
,,,1301,585.350762398,39,,,13,1778435360.6476274,0.573982298374176,1.2834144830703735,1.0,1.2834144830703735,0.0,,,,
0.6145244240760803,1.0,0.0,1349,607.903855245,40,1.3710134029388428,1.3710134029388428,14,1778435383.2006054,,,,,,,,,
,,,1394,626.873431841,41,,,14,1778435402.1700976,0.5675725340843201,1.29250967502594,1.0,1.29250967502594,0.0,,,,
0.5470116138458252,1.0,0.0,1399,632.686087527,42,1.252152681350708,1.252152681350708,15,1778435407.9828088,,,,,,,,,
0.5434122681617737,1.0,0.0,1449,652.058687471,43,1.20967698097229,1.20967698097229,15,1778435427.3554943,,,,,,,,,
,,,1487,668.194820873,44,,,15,1778435443.4915748,0.5720525979995728,1.2787175178527832,1.0,1.2787175178527832,0.0,,,,
0.5315069556236267,1.0,0.0,1499,676.784299228,45,1.3062803745269775,1.3062803745269775,16,1778435452.0812185,,,,,,,,,
0.5987660884857178,1.0,0.0,1549,695.982231762,46,1.357092261314392,1.357092261314392,16,1778435471.2789662,,,,,,,,,
