series_id,scenario,arch,variant,sMAPE,RMSSE,sMAPC,RMSSC,model
590,Scratch,NBEATS,Standard,11.374201407799355,1.4547791343468885,6.127163391846877,0.734916464640544,NBEATS_Standard
590,Scratch,NHITS,Stabilized,16.539184643672062,1.9480624474011934,11.698142510194044,1.2343890047990358,NHITS_Stabilized
590,Scratch,NHITS,Standard,14.442069402107826,1.7035937630213225,13.356915712356567,1.2551904229017405,NHITS_Standard
590,TL,NBEATS,Stabilized,13.722214955549974,1.71805451466487,8.71501281628242,0.9570985293159118,NBEATS_Stabilized
590,TL,NBEATS,Standard,13.26535547696627,1.6560299396514893,8.66957419193708,0.9565995049018127,NBEATS_Standard
590,TL,NHITS,Stabilized,13.354793842022236,1.6741566841418927,8.581070514825674,0.9671161770820618,NHITS_Stabilized
590,TL,NHITS,Standard,11.966215903942402,1.5146077137727003,8.17045231965872,0.909899343091708,NHITS_Standard
590,ZeroShot,NBEATS,Stabilized,13.750627260941725,1.785015569283412,7.326077131124643,0.8311228041465466,NBEATS_Stabilized
590,ZeroShot,NBEATS,Standard,14.758485904106728,1.8539845026456392,8.799845081109266,0.9635974025497069,NBEATS_Standard
590,ZeroShot,NHITS,Stabilized,12.708833657778227,1.6945374608039856,5.836562771063584,0.7002644028801185,NHITS_Stabilized
590,ZeroShot,NHITS,Standard,12.780790072221022,1.661557307610145,6.737377331807063,0.7472979500889778,NHITS_Standard
591,Scratch,NBEATS,Stabilized,5.189011940589318,0.8890165640757635,3.294886799959036,0.5734232182686145,NBEATS_Stabilized
591,Scratch,NBEATS,Standard,5.124392720369192,0.8838051740939801,3.0670935007242055,0.5332996283586209,NBEATS_Standard
591,Scratch,NHITS,Stabilized,5.3214724980867825,0.9242930916639475,5.2642564590160665,0.8711197009453406,NHITS_Stabilized
591,Scratch,NHITS,Standard,5.234120478996863,0.8948380442766043,4.478417965082022,0.7654764308379247,NHITS_Standard
591,TL,NBEATS,Stabilized,3.6627655029296875,0.6637544861206641,1.5529876626454866,0.24747974769427225,NBEATS_Stabilized
591,TL,NBEATS,Standard,3.761026327426617,0.6733789650293497,1.8823080246265118,0.2960465057538106,NBEATS_Standard
591,TL,NHITS,Stabilized,3.5368105264810414,0.6355538987196409,1.6532721657019396,0.26231456433351225,NHITS_Stabilized
591,TL,NHITS,Standard,3.752535269810603,0.670741991354869,2.0188772907623878,0.3352268487215042,NHITS_Standard
591,ZeroShot,NBEATS,Stabilized,3.5334604520064135,0.6469051562822782,1.6852935254573822,0.26829036153279817,NBEATS_Stabilized
591,ZeroShot,NBEATS,Standard,3.6816764244666467,0.6628720554021689,2.1387341549763312,0.3371185133090386,NBEATS_Standard
591,ZeroShot,NHITS,Stabilized,3.474297670217661,0.6337678890961868,1.8817747510396516,0.2966541900084569,NHITS_Stabilized
591,ZeroShot,NHITS,Standard,3.846929531831008,0.6927797817266904,2.308267510854281,0.38314132736279416,NHITS_Standard
592,Scratch,NBEATS,Stabilized,6.397009464410635,0.7592812455617465,7.730526722394503,0.8934852893535907,NBEATS_Stabilized
592,Scratch,NBEATS,Standard,5.791691651711097,0.7266405476973608,3.9934578125293436,0.513693990615698,NBEATS_Standard
592,Scratch,NHITS,Stabilized,7.029102673897376,0.882737411902501,6.9356446999769945,0.8320024357392237,NHITS_Stabilized
592,Scratch,NHITS,Standard,6.972941178541917,0.8560172709134909,6.019082252795879,0.7698657214641571,NHITS_Standard
592,TL,NBEATS,Stabilized,8.593905925750732,1.019165460879986,2.205681573886138,0.26388447703077245,NBEATS_Stabilized
592,TL,NBEATS,Standard,8.67940902709961,1.031318105184115,2.1719460487365723,0.2657634776372176,NBEATS_Standard
592,TL,NHITS,Stabilized,8.921389726492075,1.061229829604809,2.1371114448859143,0.260589847771021,NHITS_Stabilized
592,TL,NHITS,Standard,8.986636656981249,1.0673711552069738,2.558413817332341,0.31496376200364185,NHITS_Standard
592,ZeroShot,NBEATS,Stabilized,8.436187909199642,0.9925954594061925,2.9813169974547167,0.35769095902259535,NBEATS_Stabilized
592,ZeroShot,NBEATS,Standard,8.321324531848614,0.9839541912078857,2.601915235702808,0.32008300950893986,NBEATS_Standard
592,ZeroShot,NHITS,Stabilized,8.937846440535326,1.054657757282257,2.673471835943369,0.32289983045596343,NHITS_Stabilized
592,ZeroShot,NHITS,Standard,9.166333015148457,1.0874775235469525,2.857143590083489,0.3614636499148149,NHITS_Standard
593,Scratch,NBEATS,Stabilized,3.372657638329726,0.46927304909779477,3.2614560585755568,0.45446537549679095,NBEATS_Stabilized
593,Scratch,NBEATS,Standard,3.947180674626277,0.5795066677607023,3.705099967809824,0.5207967895727891,NBEATS_Standard
593,Scratch,NHITS,Stabilized,4.4248310052431545,0.6590385735034943,5.127047126109783,0.708314734009596,NHITS_Stabilized
593,Scratch,NHITS,Standard,4.119260008518513,0.5671753814587226,5.116314631242019,0.6971759612743671,NHITS_Standard
593,TL,NBEATS,Stabilized,3.8812628342555118,0.5574148159760696,1.189841974240083,0.15979619840016732,NBEATS_Stabilized
593,TL,NBEATS,Standard,4.054715413313645,0.5814394240195935,1.1983624192384572,0.16483482002065733,NBEATS_Standard
593,TL,NHITS,Stabilized,4.041618301318242,0.5890110822824332,1.4127391691391284,0.1891764820768283,NHITS_Stabilized
593,TL,NHITS,Standard,4.181631748492901,0.6063254590217884,1.643954431781402,0.22638421448377463,NHITS_Standard
593,ZeroShot,NBEATS,Stabilized,3.963089796213003,0.5681931468156668,1.4723940170728242,0.1985903256214582,NBEATS_Stabilized
593,ZeroShot,NBEATS,Standard,4.163404721480149,0.5983012341536008,1.677351699425624,0.22250807457245314,NBEATS_Standard
593,ZeroShot,NHITS,Stabilized,4.320419164804312,0.6251762119623331,1.7902259001365075,0.23991996680314726,NHITS_Stabilized
593,ZeroShot,NHITS,Standard,4.383529791465173,0.6409205473386325,1.8451447796363096,0.25518645403476864,NHITS_Standard
594,Scratch,NBEATS,Stabilized,6.963736790877122,0.6833953169675974,7.045946359634399,0.6450915061510526,NBEATS_Stabilized
594,Scratch,NBEATS,Standard,7.773581651540903,0.7628797728281754,6.4506195325117845,0.5989949290569012,NBEATS_Standard
594,Scratch,NHITS,Stabilized,9.140041534717266,0.87388964341237,8.322532131121708,0.7596316841932443,NHITS_Stabilized
594,Scratch,NHITS,Standard,7.911240320939284,0.7647854594083933,8.795648959966806,0.8274763593306909,NHITS_Standard
594,TL,NBEATS,Stabilized,5.830362943502573,0.6077833129809453,2.64501161300219,0.2418597208765837,NBEATS_Stabilized
594,TL,NBEATS,Standard,5.745025121248686,0.603774192241522,3.056386933876918,0.284374951170041,NBEATS_Standard
594,TL,NHITS,Stabilized,5.587440105584951,0.5860693248418661,2.870722417648022,0.25988102990847367,NHITS_Stabilized
594,TL,NHITS,Standard,5.874330630669227,0.6023460970475123,2.348946293959251,0.22096696782570618,NHITS_Standard
594,ZeroShot,NBEATS,Stabilized,6.196291483365572,0.6306497019070846,3.3371403767512393,0.2975966752721713,NBEATS_Stabilized
594,ZeroShot,NBEATS,Standard,6.054389476776123,0.622009623509187,3.401983531621786,0.3109916683572989,NBEATS_Standard
594,ZeroShot,NHITS,Stabilized,6.176509600419265,0.6311914233060983,3.2534674887473765,0.2905418253861941,NHITS_Stabilized
594,ZeroShot,NHITS,Standard,6.399663118215708,0.6458091071018806,2.957656007546645,0.27709619299723554,NHITS_Standard
595,Scratch,NBEATS,Stabilized,4.75575065612793,0.9053363731274238,3.92401123046875,0.6626017322907081,NBEATS_Stabilized
595,Scratch,NBEATS,Standard,5.359905059521015,0.985697118135599,3.676116324388064,0.6163578652418576,NBEATS_Standard
595,Scratch,NHITS,Stabilized,5.3116880013392525,0.9354637998801011,3.9631404051413903,0.6660494552208827,NHITS_Stabilized
595,Scratch,NHITS,Standard,5.374960330816416,0.9221499562263489,4.67749220591325,0.7339127774421985,NHITS_Standard
595,TL,NBEATS,Stabilized,5.158761739730835,0.8383342073513911,1.2338946461677551,0.1885183175595907,NBEATS_Stabilized
595,TL,NBEATS,Standard,5.214652721698467,0.8482292798849252,1.222018253344756,0.19337774354677933,NBEATS_Standard
595,TL,NHITS,Stabilized,4.992852669495803,0.810955313535837,1.521755080956679,0.23248589841219094,NHITS_Stabilized
595,TL,NHITS,Standard,5.096563430932852,0.8214950607373164,1.62351266008157,0.25606165167230827,NHITS_Standard
595,ZeroShot,NBEATS,Stabilized,4.940023165482741,0.8008390252406781,1.4538215765586266,0.22068078644000566,NBEATS_Stabilized
595,ZeroShot,NBEATS,Standard,5.179418948980478,0.8254601130118737,1.3375490009784698,0.20532739706910574,NBEATS_Standard
595,ZeroShot,NHITS,Stabilized,4.806631436714759,0.7700415849685669,1.7013126703409047,0.25047456988921535,NHITS_Stabilized
595,ZeroShot,NHITS,Standard,4.9143320963932915,0.7933272031637338,1.7069178590407739,0.2623564956279901,NHITS_Standard
596,Scratch,NBEATS,Stabilized,4.05058779166295,0.8062648268846365,3.967981952887315,0.7967423796653748,NBEATS_Stabilized
596,Scratch,NBEATS,Standard,3.446807916347797,0.7136204907527337,2.863202397639935,0.5670639448440992,NBEATS_Standard
596,Scratch,NHITS,Stabilized,3.8111037657811093,0.7974404853123885,3.3673144487234263,0.7160214919310349,NHITS_Stabilized
596,Scratch,NHITS,Standard,3.9950986275306115,0.8279995964123652,3.7277667155632606,0.7264550557503333,NHITS_Standard
596,TL,NBEATS,Stabilized,3.382321889583881,0.6689232152241927,1.2550054513491118,0.2361073803443175,NBEATS_Stabilized
596,TL,NBEATS,Standard,3.3338978657355676,0.6559411860429324,1.0986019051991975,0.2107472883967253,NBEATS_Standard
596,TL,NHITS,Stabilized,3.266217140051035,0.6510237088570228,1.4170648272220905,0.274765751682795,NHITS_Stabilized
596,TL,NHITS,Standard,3.36714074244866,0.6553528698591086,1.347050999219601,0.2620414524124219,NHITS_Standard
596,ZeroShot,NBEATS,Stabilized,3.300561923247117,0.6420365296877347,1.316608312038275,0.24480031831906393,NBEATS_Stabilized
596,ZeroShot,NBEATS,Standard,3.3156864918195286,0.6459668049445519,1.3098707153246953,0.2440725011894336,NBEATS_Standard
596,ZeroShot,NHITS,Stabilized,3.1852147487493663,0.6284114810136648,1.3755082350510817,0.26797428784462124,NHITS_Stabilized
596,ZeroShot,NHITS,Standard,3.2449144766880917,0.6295594825194433,1.5740440442011907,0.298251028244312,NHITS_Standard
597,Scratch,NBEATS,Stabilized,6.92151220028217,0.9233243327874404,5.51035107099093,0.7353249444411352,NBEATS_Stabilized
597,Scratch,NBEATS,Standard,5.412826648125281,0.7594108123045701,3.8275158955500674,0.5241475815956409,NBEATS_Standard
597,Scratch,NHITS,Stabilized,6.144676171816313,0.8068419190553519,5.199148654937744,0.7013472158175248,NHITS_Stabilized
597,Scratch,NHITS,Standard,6.79712464259221,0.9305031895637512,5.047230500441331,0.6975209300334637,NHITS_Standard
597,TL,NBEATS,Stabilized,5.212292671203613,0.6632123658290277,2.4913486058895407,0.3012945187779573,NBEATS_Stabilized
597,TL,NBEATS,Standard,5.458893280762893,0.6931352133934314,2.4795244932174683,0.3017294825269626,NBEATS_Standard
597,TL,NHITS,Stabilized,5.008601702176607,0.6371253889340621,1.9785934686660767,0.2407548427581787,NHITS_Stabilized
597,TL,NHITS,Standard,4.958163059674776,0.6420695071036999,2.3012190965505748,0.28392040442961913,NHITS_Standard
597,ZeroShot,NBEATS,Stabilized,5.338101001886221,0.6686476721213415,2.872284857126383,0.3423231685390839,NBEATS_Stabilized
597,ZeroShot,NBEATS,Standard,5.9263931421133185,0.7381476576511676,2.782004856146299,0.3315077962783667,NBEATS_Standard
597,ZeroShot,NHITS,Stabilized,5.109811232640193,0.6481302380561829,2.5569347945543437,0.31355216440099937,NHITS_Stabilized
597,ZeroShot,NHITS,Standard,5.034907799500686,0.6417308633144085,2.6588224401840796,0.3218788389976208,NHITS_Standard
598,Scratch,NBEATS,Stabilized,16.604487052330605,1.1677863414470966,9.852203204081608,0.7408493058039591,NBEATS_Stabilized
598,Scratch,NBEATS,Standard,17.858285720531757,1.213538456421632,9.818039839084332,0.7010261806157919,NBEATS_Standard
598,Scratch,NHITS,Stabilized,16.542119888158943,1.118254909148583,7.970532160538894,0.6053061576989981,NHITS_Stabilized
598,Scratch,NHITS,Standard,17.33925408583421,1.2235585634525006,11.616534599891075,0.844708542411144,NHITS_Standard
598,TL,NBEATS,Stabilized,16.00593090057373,1.078709595478498,8.04523491859436,0.5039388835430145,NBEATS_Stabilized
598,TL,NBEATS,Standard,15.491526823777418,1.0387028432809389,7.612491497626672,0.47600925943026173,NBEATS_Standard
598,TL,NHITS,Stabilized,16.218423476585976,1.0965072077054243,7.96361336341271,0.4970141528890683,NHITS_Stabilized
598,TL,NHITS,Standard,16.081050909482517,1.0891599380053008,8.005279210897593,0.505679197036303,NHITS_Standard
598,ZeroShot,NBEATS,Stabilized,15.115864166846642,1.0119582735575163,8.780239224433899,0.5435862770447364,NBEATS_Stabilized
598,ZeroShot,NBEATS,Standard,14.56705848987286,0.9704586703043717,8.302877178558937,0.510440876850715,NBEATS_Standard
